id,name,host_id,host_name,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,availability_365
1034787269959090048,"Guestroom A, Near LGA, flushing and Citi field",548551591,Yanna,Queens,College Point,Private room,136.0,1.0,111,98
1034870717937149952,444-2E Modern 2BR Hell's Kitchen,162280872,Urban Furnished,Manhattan,Hell's Kitchen,Entire home/apt,384.0,30.0,4,324
1034897833823170048,Entire 2 bedrooms Apt Short Walk to UN/Times Sq,217849860,Svetlana,Manhattan,Midtown,Entire home/apt,560.0,2.0,55,138
1034962239819789952,Bright and spacious room,411079992,Nick,Queens,Richmond Hill,Private room,76.0,30.0,0,180
1034977854572099968,big beautiful bedroom,411079992,Nick,Queens,Richmond Hill,Private room,57.0,30.0,0,269
1035243405969730048,3BR w/Private Deck & Entry,51716739,Harvin,Brooklyn,Bedford-Stuyvesant,Entire home/apt,238.0,30.0,48,365
1035433294591239936,Charming Brooklyn Townhouse (no cleaning fee),2002612,Neil,Brooklyn,Bedford-Stuyvesant,Private room,146.0,30.0,0,364
1035503974195939968,Soho Luxury Artist Loft 1800 SQFT,12268556,Carlos,Manhattan,SoHo,Entire home/apt,990.0,1.0,17,192
1035513445878029952,Brooklyn luxury Apt 25m from wall st & time square,450380788,Rybner,Brooklyn,Boerum Hill,Entire home/apt,626.0,1.0,95,165
1035513737232860032,Elegant Stay with Stunning Views! Pets Allowed!,501999514,RoomPicks,Manhattan,Murray Hill,Private room,221.0,1.0,0,280
1035516094065699968,73-710 New Studio Prime UWS Doorman Gym C Park,162280872,Urban Furnished,Manhattan,Upper West Side,Entire home/apt,241.0,30.0,1,337
1035517422998460032,NYC Exploration Made Easy! Pets are Allowed Here,501999514,RoomPicks,Manhattan,Murray Hill,Private room,513.0,1.0,0,270
1035526995070840064,Modern Sanctuary! Near Grand Central Terminal!,501999514,RoomPicks,Manhattan,Murray Hill,Private room,353.0,1.0,0,296
1035528921013779968,"East Side Escape! 2 Posh Units, Pets Allowed",501999514,RoomPicks,Manhattan,Murray Hill,Private room,706.0,1.0,0,296
1035641818891250048,Central Specious 3 Bedroom Apt,548166230,Fontaine Tulayn,Manhattan,Murray Hill,Entire home/apt,701.0,1.0,145,90
1035678410792269952,Modern Cozy Nest located on UES/Central Park,2386050,Aldee,Manhattan,Upper East Side,Entire home/apt,364.0,2.0,61,129
1035961933887789952,Chelsea Beautiful 2 Bedroom Apt,284734980,Teferi,Manhattan,Chelsea,Entire home/apt,666.0,1.0,123,82
1036072264324130048,Appartement Ã  Brooklyn,548813436,Samantha,Brooklyn,Bushwick,Entire home/apt,141.0,30.0,0,263
1029317224873549952,Quiet Apartment w/ Private Patio & Laundry,59051417,,Manhattan,Kips Bay,Entire home/apt,375.0,1.0,72,65
1029497609134509952,King Bed Moroccan Loverâ€™s Oasis â€¢ 15 Mins to City,488152765,Shayara,Queens,Sunnyside,Entire home/apt,155.0,1.0,140,263
1029666092532039936,Long Island City Apartments,44305915,Romane,Queens,Sunnyside,Entire home/apt,310.0,30.0,0,269
1029692543095350016,Lovely townhouse by Park Avenue,547546051,Lariza,Manhattan,Upper East Side,Private room,650.0,30.0,0,360
1029713156755559936,"The Penny Williamsburg, Supreme Queen Rooms in ...",547551734,,Brooklyn,Williamsburg,Private room,279.0,1.0,1,343
1029752862113650048,2 Units Close to Iconic MOMA and Central Park!,501999514,RoomPicks,Manhattan,Midtown,Hotel room,918.0,1.0,0,321
1029753759407069952,"3 Stylish Units near MOMA, Central Park and more!",501999514,RoomPicks,Manhattan,Midtown,Hotel room,1377.0,1.0,0,319
1029766290483900032,2 Pet-friendly Units w/ Kitchen! Minutes to MoMA!,501999514,RoomPicks,Manhattan,Midtown,Hotel room,834.0,1.0,4,335
1029768598914790016,Great Amenities! 3 Spacious Units w/ Kitchen!,501999514,RoomPicks,Manhattan,Midtown,Hotel room,1181.0,1.0,0,335
1029776177395260032,Modern Comforts: Central & Cozy.,523899442,Prestige NYC,Manhattan,Hell's Kitchen,Entire home/apt,653.0,1.0,58,291
1029780342115539968,Short-drive to LaGuardia Airport! Onsite Parking!,501999514,RoomPicks,Manhattan,Midtown,Hotel room,449.0,1.0,7,303
1029783191207149952,"Prime Setting in Midtown: Walk to 5th Avenue, MoMA",501999514,RoomPicks,Manhattan,Midtown,Hotel room,434.0,1.0,0,254
1029788344197600000,Visit Iconic Museums! 2 Spacious Units w/ Kitchen!,501999514,RoomPicks,Manhattan,Midtown,Hotel room,1053.0,1.0,0,239
1029791210554200064,Steps to Attractions! 3 Spacious Units Near MoMA!,501999514,RoomPicks,Manhattan,Midtown,Hotel room,1065.0,1.0,0,234
1029806211924790016,Meserole Hub,385519345,Lipa,Brooklyn,Williamsburg,Entire home/apt,155.0,30.0,3,365
1029849374021570048,New offer! Cozy Private Room in Ð¡o-living Apt,284548162,Anastasia,Brooklyn,Bedford-Stuyvesant,Private room,64.0,30.0,0,229
1029860634425159936,Bright Private Room + Gym & Laundry Included,284548162,Anastasia,Brooklyn,Bedford-Stuyvesant,Private room,64.0,30.0,0,229
1029867990742700032,Housing for Medical Professional A,143930432,Karen,Brooklyn,East Flatbush,Private room,43.0,30.0,1,164
1029872184146509952,Harlem: Cozy Elegance & Culture,490227353,Rental,Manhattan,East Harlem,Entire home/apt,280.0,3.0,70,234
1029872939778150016,HOT OFFER! Cozy Private Room | Williamsburg,493207893,Leo,Brooklyn,Williamsburg,Private room,65.0,30.0,0,360
1030038657520359936,Spacious and Central + Roofdeck,547590625,Edoardo,Manhattan,Murray Hill,Entire home/apt,685.0,1.0,75,246
1030041934802200064,Special-Large 2 Bedroom/2Bath,284563606,Arben,Manhattan,Murray Hill,Entire home/apt,598.0,1.0,139,74
1030390127312130048,"Quiet, Large, & Cozy Bedroom in Bushwick Apt",9864136,Anthony,Brooklyn,Bedford-Stuyvesant,Private room,68.0,30.0,0,349
1030425670028390016,Modern One Bedroom in Midtown West Manhattan,22541573,Furnished Quarters,Manhattan,Midtown,Entire home/apt,411.0,30.0,0,297
1030503494042829952,Meserole Hub,385519345,Lipa,Brooklyn,Williamsburg,Entire home/apt,155.0,30.0,1,278
1030521032786840064,Stay In The Heart Of NYC! Walk to Central Park!,501999514,RoomPicks,Manhattan,Midtown,Hotel room,549.0,1.0,1,328
1030582663901639936,*Special Offer* Chic Brooklyn 1BD,487732432,Mova,Brooklyn,Park Slope,Entire home/apt,239.0,30.0,1,317
1030583783320300032,NYU stylish apt 2 beds (walkup),40523974,Yael,Manhattan,East Village,Entire home/apt,167.0,30.0,1,293
1030685682018739968,Private Room near JFK-NY,547761113,Rafat,Queens,Howard Beach,Private room,47.0,30.0,1,365
1031072658802969984,Newly remodeled apartment with W/D and Split AC,203531377,Marko,Brooklyn,Greenpoint,Entire home/apt,245.0,30.0,1,322
1031243845273590016,"Large space, Elevator, prime loc",51589519,Noomi,Manhattan,Upper East Side,Entire home/apt,270.0,30.0,4,319
1031252846776029952,Cozy Upper Manhattan Stay,23018972,Brunden,Manhattan,Harlem,Entire home/apt,324.0,1.0,84,66
1031292829310480000,Private Loft in Hells Kitchen near Times Square,91445933,Adam,Manhattan,Hell's Kitchen,Entire home/apt,414.0,1.0,60,134
1031826859936029952,"Blueground | Hudson Yards, doorman, nr station",107434423,Blueground,Manhattan,Chelsea,Entire home/apt,293.0,30.0,0,365
1031916975423939968,Delightful Prospect Height Townhouse apt 3Br/1.5Ba,91851098,Matthew,Brooklyn,Prospect Heights,Entire home/apt,867.0,1.0,66,221
1032513943516519936,Stunning Bushwick Condo,541108,Petrit,Brooklyn,Bushwick,Private room,118.0,10.0,1,35
1032533524834000000,Cozy Guest Room in Bushwick Townhouse,31038604,Olivia,Brooklyn,Bushwick,Private room,203.0,2.0,61,108
1032596032924280064,91-2A Stylish 3BR/1Bth with W/D,162280872,Urban Furnished,Manhattan,Upper East Side,Entire home/apt,340.0,30.0,0,345
1032596208836240000,73-201 New 1BR/1Bth UWS Doorman Gym,162280872,Urban Furnished,Manhattan,Upper West Side,Entire home/apt,427.0,30.0,2,319
1032626627203079936,"Cozy room in Morris Park, BX!",227052258,Pedro,Bronx,Van Nest,Private room,74.0,5.0,25,307
1032727700749660032,2 Br ~ SAINT MARKS ~ NYU,190154361,Sveta,Manhattan,East Village,Entire home/apt,167.0,30.0,2,293
1032770163786520064,Near JFK |Walk to AirTrain |Self Check-In,62130077,Muhammad,Queens,Briarwood,Entire home/apt,157.0,1.0,100,217
1032844645357830016,Quaint studio close to the beach,27204642,Anna,Brooklyn,Bergen Beach,Entire home/apt,66.0,30.0,6,162
1036380090895149952,3 Pet-Friendly Units! Near Empire State Building,501999514,RoomPicks,Manhattan,Murray Hill,Private room,992.0,1.0,0,295
1036494663880720000,Sunny 2 bedroom,4134337,Tyler,Brooklyn,Williamsburg,Entire home/apt,269.0,30.0,7,257
1036901128219410048,"Royalton New York, Standard Room, Heart of NYC!",501999278,RoomPicks,Manhattan,Midtown,Hotel room,279.0,1.0,1,357
1036919697576120064,New Renovated UWS Private Bath Studio Elevator 217,35491667,LEAP NY Apartments,Manhattan,Upper West Side,Entire home/apt,83.0,30.0,10,159
1036945730394329984,Cozy accommodation Little Italy,548991436,Victor,Manhattan,Chinatown,Entire home/apt,449.0,2.0,93,281
1036968899079869952,Midtown East Entire 2 BR/Near UN and Central Park,217852396,Evgeniy,Manhattan,Midtown,Entire home/apt,456.0,3.0,48,177
1037084574043040000,Stunning Bright Skylit 1BR Near Grand Central,35491667,LEAP NY Apartments,Manhattan,Murray Hill,Entire home/apt,159.0,30.0,11,227
1037197830785209984,Heart of Columbia Uni- Entire Room + En-suite bath,36063879,Antoni,Manhattan,Upper West Side,Private room,435.0,1.0,65,269
1037314434052679936,Room next to Central Park 6,316021585,Carlos,Manhattan,Upper West Side,Private room,153.0,1.0,118,188
1037893954700009984,Brooklyn's Heart,3818314,Levi,Brooklyn,East Flatbush,Entire home/apt,251.0,1.0,156,74
1037979759518029952,Casa Supreme 3BED,386008696,Ognen,Manhattan,Financial District,Entire home/apt,1549.0,3.0,20,14
1038449927951600000,"two bedroom in Astoria/LIC, minutes to Manhattan",3851843,Ashlie,Queens,Long Island City,Entire home/apt,128.0,30.0,1,159
1038500285792489984,Spacious Room for 4 People in Williamsburg !,134637606,Rivka,Brooklyn,Williamsburg,Private room,163.0,30.0,1,270
1038500834823170048,Prime Williamsburg privte B'room in great location,134637606,Rivka,Brooklyn,Williamsburg,Private room,166.0,30.0,4,270
1038567908768969984,Artsy apartment in Queens,20380663,Anastasios,Queens,Elmhurst,Entire home/apt,138.0,30.0,2,362
1038584688653890048,Convenient 1-bed Apartment close to NYU/Subway,322218148,Dmitriy,Manhattan,Gramercy,Entire home/apt,250.0,3.0,45,219
1038594244657090048,Prime Location in UES 2BR apartment/Central Park,322218148,Dmitriy,Manhattan,Upper East Side,Entire home/apt,426.0,4.0,31,154
1038615845898550016,stylish 2bdr unit,75266494,Zviadi,Manhattan,Chinatown,Entire home/apt,329.0,1.0,70,38
1038790975859270016,Cozy room next to Central Park 5,316021585,Carlos,Manhattan,Upper West Side,Private room,179.0,1.0,123,145
1039049849056739968,317-1AN - Modern 1BR W&D Walk to Central Park,162280872,Urban Furnished,Manhattan,Upper East Side,Entire home/apt,239.0,30.0,1,338
1039053305366919936,75-1A Prime UES W/D in unit Elevator,162280872,Urban Furnished,Manhattan,Upper East Side,Entire home/apt,180.0,30.0,4,365
1039057147878200064,Furnished UES 2BR (30 days MIN),23772724,The Local Stay,Manhattan,Upper East Side,Entire home/apt,174.0,30.0,5,348
1039104317628290048,"San Carlos Hotel, Deluxe queen room",549437827,,Manhattan,Midtown,Private room,377.0,1.0,8,338
1039171553374040064,3 Bedroom Private Apt - DPLX,329941458,Gustavo,Brooklyn,Sunset Park,Private room,535.0,2.0,98,257
1036133789600060032,Modern Bronx High-Rise | Work Space | Lounge,30283594,Global Luxury Suites,Bronx,Port Morris,Entire home/apt,181.0,1.0,9,365
1036195335901180032,Queen Studio | Balcony | Near NYC | Kitchenette,30283594,Global Luxury Suites,Bronx,Port Morris,Entire home/apt,175.0,1.0,11,365
1036259745835730048,Room with private bathroom,548858191,Kristina,Brooklyn,Bushwick,Private room,57.0,30.0,0,269
1036273713121369984,Modern Bedroom w/private bath,548858191,Kristina,Brooklyn,Bushwick,Private room,57.0,30.0,1,269
1036276185860150016,A Unique Gem Private Bath,548858191,Kristina,Brooklyn,Bushwick,Private room,58.0,30.0,2,269
1036277325720060032,Dreamy Bedroom w/private bath,548858191,Kristina,Brooklyn,Bushwick,Private room,79.0,30.0,2,194
1036302925052850048,Central Park Bliss 3Bed Home,544149611,Elodia,Manhattan,Upper West Side,Entire home/apt,409.0,3.0,82,105
1036309838728169984,"New, 15min from Manhattan, AC, M Fridge, S TV",203890641,Vinicius,Queens,Ditmars Steinway,Private room,183.0,2.0,55,241
